id,abbreviation,full_name,elr,lor,mileage_from_ch,mileage_to_ch,source_doc,source_page,loaded_at
29945,DA,Up & Down Airport,TEN,EA1220,0.0,2815.0,Anglia - March 2026 Sectional Appendix.pdf,234,2026-04-28T02:36:17.009395
29946,UAD,Up Arrival Down,TLA,EA1220,2947.0,2947.0,Anglia - March 2026 Sectional Appendix.pdf,235,2026-04-28T02:36:17.531221
29947,UDD,Up Departure Down,TLA,EA1220,2947.0,2947.0,Anglia - March 2026 Sectional Appendix.pdf,235,2026-04-28T02:36:17.531221
29948,UR,Up Royston,SBR,EA1230,3660.0,3910.0,Anglia - March 2026 Sectional Appendix.pdf,236,2026-04-28T02:36:17.662090
29949,OR,Down Royston,SBR,EA1230,3660.0,3910.0,Anglia - March 2026 Sectional Appendix.pdf,236,2026-04-28T02:36:17.662090
29950,OTM,Down Temple Mills,SDC,EA1280,320.0,365.0,Anglia - March 2026 Sectional Appendix.pdf,240,2026-04-28T02:36:17.946431
29951,OHM,Down High Meads,SDC,EA1280,320.0,365.0,Anglia - March 2026 Sectional Appendix.pdf,240,2026-04-28T02:36:17.946431
29952,UTM,Up Temple Mills,BGK,EA1280,416.0,564.0,Anglia - March 2026 Sectional Appendix.pdf,241,2026-04-28T02:36:18.081231
29953,DTM,Down Temple Mills,BGK,EA1280,416.0,564.0,Anglia - March 2026 Sectional Appendix.pdf,241,2026-04-28T02:36:18.081231
29954,UNL,Up North London,BOK2,EA1310,0.0,90.0,Anglia - March 2026 Sectional Appendix.pdf,244,2026-04-28T02:36:18.404058
29955,DNL,Down North London,BOK2,EA1310,0.0,90.0,Anglia - March 2026 Sectional Appendix.pdf,244,2026-04-28T02:36:18.404058
29956,UNL,Up North London,,EA1310,133.0,143.0,Anglia - March 2026 Sectional Appendix.pdf,245,2026-04-28T02:36:18.510786
29957,DNL,Down North London,,EA1310,133.0,143.0,Anglia - March 2026 Sectional Appendix.pdf,245,2026-04-28T02:36:18.510786
29958,UNL,Up North London,BOK2,EA1310,235.0,361.0,Anglia - March 2026 Sectional Appendix.pdf,246,2026-04-28T02:36:18.627404
29959,DNL,Down North London,BOK2,EA1310,235.0,361.0,Anglia - March 2026 Sectional Appendix.pdf,246,2026-04-28T02:36:18.627404
29960,UNL,Up North London,BOK3,EA1310,0.0,439.0,Anglia - March 2026 Sectional Appendix.pdf,247,2026-04-28T02:36:18.839162
29961,DNL,Down North London,BOK3,EA1310,0.0,439.0,Anglia - March 2026 Sectional Appendix.pdf,247,2026-04-28T02:36:18.839162
29962,D,Down,BOK5,EA1310,34.0,72.0,Anglia - March 2026 Sectional Appendix.pdf,248,2026-04-28T02:36:18.985346
29963,UNL,Up North London,BOK5,EA1310,34.0,72.0,Anglia - March 2026 Sectional Appendix.pdf,248,2026-04-28T02:36:18.985346
29964,DNL,Down North London,BOK5,EA1310,34.0,72.0,Anglia - March 2026 Sectional Appendix.pdf,248,2026-04-28T02:36:18.985346
29965,UP,Up Poplar,BOK5,EA1310,34.0,72.0,Anglia - March 2026 Sectional Appendix.pdf,248,2026-04-28T02:36:18.985346
29966,DP,Down Poplar,BOK5,EA1310,34.0,72.0,Anglia - March 2026 Sectional Appendix.pdf,248,2026-04-28T02:36:18.985346
29967,UR,Up Richmond Line,BOK5,EA1310,150.0,212.0,Anglia - March 2026 Sectional Appendix.pdf,249,2026-04-28T02:36:19.104799
29968,DR,Down Richmond Line,BOK5,EA1310,150.0,212.0,Anglia - March 2026 Sectional Appendix.pdf,249,2026-04-28T02:36:19.104799
29969,DNL,Down North London,CRC2,EA1320,13.0,449.0,Anglia - March 2026 Sectional Appendix.pdf,252,2026-04-28T02:36:19.491292
29970,UNL,Up North London,CRC2,EA1320,13.0,449.0,Anglia - March 2026 Sectional Appendix.pdf,252,2026-04-28T02:36:19.491292
29971,NU,North London Incline,CRC2,EA1320,13.0,449.0,Anglia - March 2026 Sectional Appendix.pdf,252,2026-04-28T02:36:19.491292
29972,DNL,Down North London (AC),BOK1,EA1320,372.0,372.0,Anglia - March 2026 Sectional Appendix.pdf,253,2026-04-28T02:36:19.546689
29973,UNL,Up North London (AC),BOK1,EA1320,372.0,372.0,Anglia - March 2026 Sectional Appendix.pdf,253,2026-04-28T02:36:19.546689
29974,UNLR,Up North London Reversible (AC),BOK1,EA1320,372.0,372.0,Anglia - March 2026 Sectional Appendix.pdf,253,2026-04-28T02:36:19.546689
29975,DNLR,Down North London Relief (AC),BOK1,EA1320,372.0,372.0,Anglia - March 2026 Sectional Appendix.pdf,253,2026-04-28T02:36:19.546689
29976,UNL,Up North London,ELLS,EA1320,276.0,314.0,Anglia - March 2026 Sectional Appendix.pdf,254,2026-04-28T02:36:19.688389
29977,L,DownNorth Lon don,ELLS,EA1320,276.0,314.0,Anglia - March 2026 Sectional Appendix.pdf,254,2026-04-28T02:36:19.688389
29978,DNLR,Down North London Relief,ELLS,EA1320,276.0,314.0,Anglia - March 2026 Sectional Appendix.pdf,254,2026-04-28T02:36:19.688389
29979,UE,Up East London Line,ELLS,EA1320,276.0,314.0,Anglia - March 2026 Sectional Appendix.pdf,254,2026-04-28T02:36:19.688389
29980,DE,Down East London Line,ELLS,EA1320,276.0,314.0,Anglia - March 2026 Sectional Appendix.pdf,254,2026-04-28T02:36:19.688389
29981,UNL,Up North London,ELL5,EA1320,91.0,252.0,Anglia - March 2026 Sectional Appendix.pdf,255,2026-04-28T02:36:19.819184
29982,DNL,Down North London,ELL5,EA1320,91.0,252.0,Anglia - March 2026 Sectional Appendix.pdf,255,2026-04-28T02:36:19.819184
29983,UE,Up East London Line,ELL5,EA1320,91.0,252.0,Anglia - March 2026 Sectional Appendix.pdf,255,2026-04-28T02:36:19.819184
29984,DE,Down East London Line,ELL5,EA1320,91.0,252.0,Anglia - March 2026 Sectional Appendix.pdf,255,2026-04-28T02:36:19.819184
29985,UNL,Up North London,,EA1320,112.0,228.0,Anglia - March 2026 Sectional Appendix.pdf,256,2026-04-28T02:36:19.941028
29986,DNL,Down North London,,EA1320,112.0,228.0,Anglia - March 2026 Sectional Appendix.pdf,256,2026-04-28T02:36:19.941028
29987,UNL,Up North London,CST,EA1320,259.0,274.0,Anglia - March 2026 Sectional Appendix.pdf,257,2026-04-28T02:36:19.987251
29988,DNL,Down North London,CST,EA1320,259.0,274.0,Anglia - March 2026 Sectional Appendix.pdf,257,2026-04-28T02:36:19.987251
29989,UNL,Up North London,SDC,EA1320,314.0,314.0,Anglia - March 2026 Sectional Appendix.pdf,258,2026-04-28T02:36:20.101003
29990,DNL,Down North London,SDC,EA1320,314.0,314.0,Anglia - March 2026 Sectional Appendix.pdf,258,2026-04-28T02:36:20.101003
29991,UBC,UpBrentCurve,NJN,EA1360,54.0,563.0,Anglia - March 2026 Sectional Appendix.pdf,264,2026-04-28T02:36:21.657608
29992,UCC,Up Cricklewood Curve,NJN,EA1360,54.0,563.0,Anglia - March 2026 Sectional Appendix.pdf,264,2026-04-28T02:36:21.657608
29993,DCC,Down Cricklewood Curve,NJN,EA1360,54.0,563.0,Anglia - March 2026 Sectional Appendix.pdf,264,2026-04-28T02:36:21.657608
29994,UG,Up Goods,NJN,EA1360,54.0,563.0,Anglia - March 2026 Sectional Appendix.pdf,264,2026-04-28T02:36:21.657608
