elr,mileage_raw,mileage_ch,mileage_decimal,type,name,easting,northing,latitude,longitude
CGJ7,2.0819,2m 37ch,2.0819,Authorised Access Point '-' Pedestrian,HEST BANK TSC 25KV SUB STATION,346421.0,465558.0,54.08297,-2.8191
CGJ7,3.0202,3m 09ch,3.0202,Authorised Access Point '-' Vehicle,HEST BANK,346815.0,466534.0,54.09178,-2.81325
CGJ7,4.0702,4m 32ch,4.0702,Authorised Access Point '-' Vehicle,BOLTON'-'LE'-'SANDS BY LC,347981.0,468227.0,54.10711,-2.79571
CGJ7,5.0167,5m 08ch,5.0167,Authorised Access Point '-' Pedestrian,DERTERN LANE <BRIDGE 15>,348585.0,469190.0,54.11583,-2.78664
CGJ7,5.1317,5m 60ch,5.1317,Authorised Access Point '-' Vehicle,JESSON WAY'-'OFF CRAG BANK ROAD <CARNFORTH SIDINGS>,349162.0,470067.0,54.12377,-2.77796
CGJ7,5.1496,5m 68ch,5.1496,Authorised Access Point '-' Vehicle,CARNFORTH JESSON WAY'-'OFF CRAG BANK ROAD,349441.0,470451.0,54.12725,-2.77375
CGJ7,5.1529,5m 70ch,5.1529,Authorised Access Point '-' Vehicle,CARNFORTH SIDINGS,349276.0,470225.0,54.1252,-2.77624
CGJ7,6.0310,6m 14ch,6.031,Authorised Access Point '-' Vehicle,CARNFORTH PWAY,349695.0,470634.0,54.12892,-2.7699
CGJ7,6.0518,6m 24ch,6.0518,Authorised Access Point '-' Pedestrian,CARNFORTH STN BRIDGE NO 19,349756.0,470714.0,54.12964,-2.76898
CGJ7,7.1705,7m 78ch,7.1705,Authorised Access Point '-' Vehicle,BORWICK LANE,351188.0,472951.0,54.14989,-2.74742
CGJ7,9.0098,9m 04ch,9.0098,Authorised Access Point '-' Pedestrian,HOLMERE <COACH & HORSES BRIDGE 29>,351363.0,474692.0,54.16555,-2.74503
CGJ7,9.1000,9m 45ch,9.1,Authorised Access Point '-' Pedestrian,cinderbarrow bridge 31,351535.0,475527.0,54.17307,-2.74253
CGJ7,9.1376,9m 63ch,9.1376,Authorised Access Point '-' Vehicle,DOG KENNELS,351538.0,475833.0,54.17582,-2.74253
CGJ7,10.0485,10m 22ch,10.0485,Authorised Access Point '-' Pedestrian,HILDERSTONE,351852.0,476582.0,54.18258,-2.73784
CGJ7,10.0920,10m 42ch,10.092,Authorised Access Point '-' Pedestrian,BRIDGE 34,352092.0,477020.0,54.18654,-2.73423
CGJ7,10.1672,10m 76ch,10.1672,Authorised Access Point '-' Vehicle,BURTON FEEDER STATION,352155.0,477581.0,54.19159,-2.73335
CGJ7,11.1040,11m 47ch,11.104,Authorised Access Point '-' Pedestrian,BRIDGE 38,351880.0,478597.0,54.2007,-2.73773
CGJ7,12.0840,12m 38ch,12.084,Authorised Access Point '-' Vehicle,ELMSFIELD BGE.40,351546.0,480007.0,54.21334,-2.74308
CGJ7,12.0840,12m 38ch,12.084,Authorised Access Point '-' Road'-'Rail Machines,ELMSFIELD RRAP,351588.0,479852.0,54.21195,-2.74241
CGJ7,13.0585,13m 27ch,13.0585,Authorised Access Point '-' Vehicle,MILNTHORPE,351323.0,481392.0,54.22576,-2.74672
CGJ7,13.0888,13m 40ch,13.0888,Authorised Access Point '-' Pedestrian,MILNTHORPE EGF  NORTH END,351292.0,481632.0,54.22792,-2.74724
CGJ7,14.0245,14m 11ch,14.0245,Authorised Access Point '-' Pedestrian,ROWELLS BRIDGE 47,351273.0,482649.0,54.23706,-2.74769
CGJ7,15.0264,15m 12ch,15.0264,Authorised Access Point '-' Pedestrian,Woodhouse/Hincaster bridge 51,351441.0,484255.0,54.25151,-2.74538
CGJ7,15.0869,15m 40ch,15.0869,Authorised Access Point '-' Vehicle,HINCASTER,351241.0,484758.0,54.25601,-2.74853
CGJ7,16.0259,16m 12ch,16.0259,Authorised Access Point '-' Vehicle,Wellheads Lane,351451.0,485775.0,54.26517,-2.74547
CGJ7,16.1059,16m 48ch,16.1059,Authorised Access Point '-' Pedestrian,RAINES HALL  FP LC,351681.0,486463.0,54.27137,-2.74205
CGJ7,16.1721,16m 78ch,16.1721,Authorised Access Point '-' Pedestrian,SEDGWICK BRIDGE 58,351774.0,487071.0,54.27685,-2.74072
CGJ7,17.1349,17m 61ch,17.1349,Authorised Access Point '-' Pedestrian,NEWLANDS BRIDGE 60,352061.0,488299.0,54.28791,-2.73651
CGJ7,17.1691,17m 77ch,17.1691,Authorised Access Point '-' Vehicle,Vechicle Access Natland Feeder Station,352235.0,488571.0,54.29037,-2.73388
CGJ7,18.0129,18m 06ch,18.0129,Authorised Access Point '-' Pedestrian,NATLAND  FP LC,352474.0,488878.0,54.29315,-2.73026
CGJ7,18.0392,18m 18ch,18.0392,Authorised Access Point '-' Vehicle,OXENHOLME STATION,353142.0,490277.0,54.30579,-2.72021
CGJ7,18.0900,18m 41ch,18.09,Authorised Access Point '-' Pedestrian,Oxenholme Neutral Section,352657.0,489337.0,54.2973,-2.72752
CGJ7,18.1195,18m 54ch,18.1195,Authorised Access Point '-' Vehicle,OXENHOLME SOUTH <BURTON RD A65>,352746.0,489565.0,54.29935,-2.72619
CGJ7,18.1350,18m 61ch,18.135,Authorised Access Point '-' Vehicle,OXENHOLME ATFS 25KV SUBSTATION,352832.0,489729.0,54.30084,-2.72489
CGJ7,18.1622,18m 74ch,18.1622,Authorised Access Point '-' Vehicle,OXENHOLME STATION SIDINGS,353003.0,489988.0,54.30318,-2.7223
CGJ7,19.0098,19m 04ch,19.0098,Authorised Access Point '-' Vehicle,OXENHOLME  UP SIDE,353113.0,490089.0,54.3041,-2.72063
CGJ7,20.0103,20m 05ch,20.0103,Authorised Access Point '-' Pedestrian,BIRKS HAGG '-' SEDBURGH RD,353377.0,491751.0,54.31906,-2.71683
CGJ7,20.0220,20m 10ch,20.022,Authorised Access Point '-' Vehicle,BIRKS HAGG'-'SEDBURGH RD,353352.0,491676.0,54.31838,-2.7172
CGJ7,20.1234,20m 56ch,20.1234,Authorised Access Point '-' Pedestrian,BRIDGE 74 GREYHOUND BRIDGE,353371.0,492715.0,54.32772,-2.71707
CGJ7,20.1396,20m 63ch,20.1396,Authorised Access Point '-' Road'-'Rail Machines,KENDAL SIDINGS RRAP,347261.0,461450.0,54.04613,-2.80554
CGJ7,22.0537,22m 24ch,22.0537,Authorised Access Point '-' Vehicle,PADDYS LANE,354123.0,495108.0,54.3493,-2.70588
CGJ7,22.0841,22m 38ch,22.0841,Authorised Access Point '-' Pedestrian,BRIDGE 81  HAYFELL,354252.0,495350.0,54.35148,-2.70393
CGJ7,23.0693,23m 32ch,23.0693,Authorised Access Point '-' Pedestrian,BRIDGE 82  APPLEBY RD.,355628.0,495699.0,54.35474,-2.68281
CGJ7,24.0419,24m 19ch,24.0419,Authorised Access Point '-' Pedestrian,LAMBRIGG EGF,357001.0,495845.0,54.35617,-2.66171
CGJ7,24.0444,24m 20ch,24.0444,Authorised Access Point '-' Vehicle,CAMBRIGG EGF,357023.0,495844.0,54.35616,-2.66137
CGJ7,24.1091,24m 50ch,24.1091,Authorised Access Point '-' Pedestrian,LAMBRIGG No.1 FOOT XING,357535.0,496113.0,54.35863,-2.65353
