id,signal_box_name,signal_prefix,workstation_name,signalling_method,eco_name,eco_type,elr,lor,mileage_from_raw,mileage_from_ch,mileage_to_raw,mileage_to_ch,source_doc,source_page,loaded_at
15980,Acton Wells Jn SB,AW,,TCB,Rugby,AC,BOK5,EA1310,1m 70ch,150,2m 52ch,212,Anglia - March 2026 Sectional Appendix.pdf,249,2026-04-28T02:36:19.104799
15981,Acton Wells Jn SB,AW,,TCB,,,SAR2,EA1310,2m 63ch,223,10m 05ch,805,Anglia - March 2026 Sectional Appendix.pdf,250,2026-04-28T02:36:19.220238
15982,Richmond SB,GB,,TCB,,,SAR2,,11m 10ch,890,12m 39ch,999,Anglia - March 2026 Sectional Appendix.pdf,251,2026-04-28T02:36:19.365789
15983,Upminster S.C.C.,NL,,TCB,Rugby,AC,CRC2,EA1320,0m 13ch,13,5m 49ch,449,Anglia - March 2026 Sectional Appendix.pdf,252,2026-04-28T02:36:19.491292
15984,Upminster S.C.C.,NL,,TCB,Romford,AC,BOK1,EA1320,4m 52ch,372,4m 52ch,372,Anglia - March 2026 Sectional Appendix.pdf,253,2026-04-28T02:36:19.546689
15985,Upminster S.C.C.,NL,,TCB,Romford,AC,ELLS,EA1320,3m 36ch,276,3m 74ch,314,Anglia - March 2026 Sectional Appendix.pdf,254,2026-04-28T02:36:19.688389
15986,Upminster S.C.C.,NL,,TCB,Romford,AC,ELL5,EA1320,1m 11ch,91,3m 12ch,252,Anglia - March 2026 Sectional Appendix.pdf,255,2026-04-28T02:36:19.819184
15987,Upminster S.C.C.,NL,,TCB,Romford,AC,,EA1320,1m 32ch,112,2m 68ch,228,Anglia - March 2026 Sectional Appendix.pdf,256,2026-04-28T02:36:19.941028
15988,Upminster S.C.C.,NL,,TCB,Romford,AC,CST,EA1320,3m 19ch,259,3m 34ch,274,Anglia - March 2026 Sectional Appendix.pdf,257,2026-04-28T02:36:19.987251
15989,Upminster S.C.C.,NL,,TCB,Romford,AC,SDC,EA1320,3m 74ch,314,3m 74ch,314,Anglia - March 2026 Sectional Appendix.pdf,258,2026-04-28T02:36:20.101003
15990,East London Line S.C.C. only,,,TCB,Lewisham,DC,ELL5,EA1325,2m 17ch,177,3m 36ch,276,Anglia - March 2026 Sectional Appendix.pdf,259,2026-04-28T02:36:20.268596
15991,Three Bridges Rail Operating,EL,,TCB,Lewisham,DC,BTH1,EA1327,2m 32ch,192,5m 51ch,451,Anglia - March 2026 Sectional Appendix.pdf,260,2026-04-28T02:36:21.130024
15992,Acton Wells Jn SB,AW,,TCB,,,NKE1,EA1330,2m 52ch,212,3m 27ch,267,Anglia - March 2026 Sectional Appendix.pdf,261,2026-04-28T02:36:21.239768
